CustomerKey,Prefix,FirstName,LastName,Customer Full name,BirthDate,MaritalStatus,Gender,EmailAddress,AnnualIncome,TotalChildren,EducationLevel,Occupation,HomeOwner
1200,MR.,Darren,Powers,Darren Powers,4/8/1966,M,M,Darren@gmail.com,90000,2,Bachelors,Professional,Y
1201,MR.,Phillina,Ober,Phillina Ober,5/14/1965,S,M,Phillina@gmail.com,60000,3,Bachelors,Professional,N
1202,MR.,Mick,Powers,Mick Brown,8/12/1965,M,M,Mick@gmail.com,60000,3,Bachelors,Professional,Y
1203,MS.,Lycoris,Ober,Lycoris Saunders,2/15/1968,S,F,Lycoris@gmail.com,70000,0,Bachelors,Professional,N
1204,MRS.,Darren,Powers,Jack O'Briant,8/8/1968,S,F,Jack@gmail.com,80000,5,Bachelors,Professional,Y
1205,MR.,Phillina,Ober,Maria Etezadi,8/5/1965,S,M,Maria@gmail.com,70000,0,Bachelors,Professional,Y
1206,MR.,Mick,Powers,Vivek Sundaresam,5/9/1964,M,M,Vivek@gmail.com,60000,3,Bachelors,Professional,Y
1207,MRS.,Lycoris,Ober,Melanie Seite,7/7/1964,S,F,Melanie@gmail.com,60000,4,Bachelors,Professional,Y
1208,MR.,Darren,Powers,Anthony Jacobs,4/1/1964,S,M,Anthony@gmail.com,70000,0,Bachelors,Professional,N
1209,MS.,Phillina,Ober,Seth Vernon,2/6/1964,S,F,Seth@gmail.com,70000,0,Bachelors,Professional,N
1210,MR.,Mick,Powers,Chris Selesnick,11/4/1963,M,M,Chris@gmail.com,60000,4,Bachelors,Professional,Y
1211,MRS.,Lycoris,Ober,Natalie DeCherney,1/18/1968,M,F,Natalie@gmail.com,100000,2,Bachelors,Management,Y
1212,MR.,Darren,Powers,Brian Dahlen,8/6/1968,M,M,Brian@gmail.com,100000,2,Bachelors,Management,Y
1213,MRS.,Phillina,Ober,Michael Moore,5/9/1968,S,F,Michael@gmail.com,100000,3,Bachelors,Management,N
1214,MS.,Mick,Powers,Brendan Sweed,2/27/1979,S,F,Brendan@gmail.com,30000,0,Partial College,Skilled Manual,N
1215,MR.,Lycoris,Ober,Erica Hackney,4/28/1979,M,M,Erica@gmail.com,30000,0,Partial College,Skilled Manual,Y
